"","AMD.Close","GSPC.Close"
"2022-09-15",76.660004,3901.350098
"2022-09-16",76.510002,3873.330078
"2022-09-19",76.769997,3899.889893
"2022-09-20",75.25,3855.929932
"2022-09-21",74.480003,3789.929932
"2022-09-22",69.5,3757.98999
"2022-09-23",67.959999,3693.22998
"2022-09-26",66.300003,3655.040039
"2022-09-27",67.169998,3647.290039
"2022-09-28",68.360001,3719.040039
"2022-09-29",64.139999,3640.469971
"2022-09-30",63.360001,3585.620117
"2022-10-03",66.110001,3678.429932
"2022-10-04",67.900002,3790.929932
"2022-10-05",67.940002,3783.280029
"2022-10-06",67.849998,3744.52002
"2022-10-07",58.439999,3639.659912
"2022-10-10",57.810001,3612.389893
"2022-10-11",57.630001,3588.840088
"2022-10-12",57.849998,3577.030029
"2022-10-13",58.939999,3669.909912
"2022-10-14",55.939999,3583.070068
"2022-10-17",57.959999,3677.949951
"2022-10-18",57.919998,3719.97998
"2022-10-19",57.23,3695.159912
"2022-10-20",57.77,3665.780029
"2022-10-21",58.82,3752.75
"2022-10-24",58.700001,3797.340088
"2022-10-25",61.470001,3859.110107
"2022-10-26",59.73,3830.600098
"2022-10-27",58.599998,3807.300049
"2022-10-28",62.009998,3901.060059
"2022-10-31",60.060001,3871.97998
"2022-11-01",59.66,3856.100098
"2022-11-02",58.630001,3759.689941
"2022-11-03",60.110001,3719.889893
"2022-11-04",62.189999,3770.550049
"2022-11-07",63.080002,3806.800049
"2022-11-08",63.849998,3828.110107
"2022-11-09",59.919998,3748.570068
"2022-11-10",68.470001,3956.370117
"2022-11-11",72.370003,3992.929932
"2022-11-14",73.529999,3957.25
"2022-11-15",76.370003,3991.72998
"2022-11-16",72.699997,3958.790039
"2022-11-17",73.900002,3946.560059
"2022-11-18",73.57,3965.340088
"2022-11-21",72.459999,3949.939941
"2022-11-22",75.25,4003.580078
"2022-11-23",76.400002,4027.26001
"2022-11-25",75.139999,4026.120117
"2022-11-28",73.190002,3963.939941
"2022-11-29",73.389999,3957.629883
"2022-11-30",77.629997,4080.110107
"2022-12-01",77.480003,4076.570068
"2022-12-02",74.980003,4071.699951
"2022-12-05",73.620003,3998.840088
"2022-12-06",70.269997,3941.26001
"2022-12-07",70.139999,3933.919922
"2022-12-08",70.470001,3963.51001
"2022-12-09",68.589996,3934.379883
"2022-12-12",70.669998,3990.560059
"2022-12-13",71.650002,4019.649902
"2022-12-14",68.93,3995.320068
"2022-12-15",66.529999,3895.75
"2022-12-16",65.410004,3852.360107
"2022-12-19",64.589996,3817.659912
"2022-12-20",65.050003,3821.620117
"2022-12-21",67.68,3878.439941
"2022-12-22",63.860001,3822.389893
"2022-12-23",64.519997,3844.820068
"2022-12-27",63.27,3829.25
"2022-12-28",62.57,3783.219971
"2022-12-29",64.82,3849.280029
"2022-12-30",64.769997,3839.5
"2023-01-03",64.019997,3824.139893
"2023-01-04",64.660004,3852.969971
"2023-01-05",62.330002,3808.100098
"2023-01-06",63.959999,3895.080078
"2023-01-09",67.239998,3892.090088
"2023-01-10",68.050003,3919.25
"2023-01-11",69.059998,3969.610107
"2023-01-12",70.800003,3983.169922
"2023-01-13",71,3999.090088
"2023-01-17",71.589996,3990.969971
"2023-01-18",70.529999,3928.860107
